article,formatted_article
der,<<Der>>
die,<<Die>>
das,<<Das>>
den,<<Den>>
dem,<<Dem>>
des,<<Des>>
 the,<<The>>
le,<<Le>>
la,<<La>>
les,<<Les>>
el,<<El>>
los,<<Los>>
las,<<Las>>
il,<<Il>>
la,<<La>>
lo,<<Lo>>
l',<<L'>>
gli,<<Gli>>
le,<<Le>>
o,<<O>>
a,<<A>>
os,<<Os>>
as,<<As>>
de,<<De>>
het,<<Het>>
ein,<<Ein>>
eine,<<Eine>>
einem,<<Einem>>
einen,<<Einen>>
einer,<<Einer>>
eines,<<Eines>>
a,<<A>>
an,<<An>>
un,<<Un>>
une,<<Une>>
des,<<Des>>
una,<<Una>>
unos,<<Unos>>
unas,<<Unas>>
dei,<<Dei>>
degli,<<Degli>>
delle,<<Delle>>
um,<<Um>>
uma,<<Uma>>
uns,<<Uns>>
umas,<<Umas>>
een,<<Een>>
the,<<The>>
